,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
466,FONE,2011,Fort Necessity NB,"193,479",577,"$6,667,000.00","$5,857,000.00",82,"$1,733,000.00","$3,241,000.00",
467,FOPO,2011,Fort Point NHS,"1,338,508",,"$92,117,000.00","$85,649,000.00","1,145","$45,382,000.00","$78,273,000.00",
468,FOPU,2011,Fort Pulaski NM,"408,104",26,"$21,605,000.00","$20,088,000.00",293,"$8,096,000.00","$14,199,000.00",
469,FORA,2011,Fort Raleigh NHS,"282,134",,"$10,455,000.00","$9,721,000.00",141,"$3,673,000.00","$6,645,000.00",
470,FOSC,2011,Fort Scott NHS,"26,219",,"$972,000.00","$903,000.00",14,"$237,000.00","$471,000.00",
471,FOSM,2011,Fort Smith NHS,"86,122",,"$4,559,000.00","$4,239,000.00",69,"$1,466,000.00","$2,643,000.00",
472,FOST,2011,Fort Stanwix NM,"102,874",,"$5,451,000.00","$5,242,000.00",65,"$1,670,000.00","$3,755,000.00",
473,FOSU,2011,Fort Sumter and Fort Moultrie NHP,"857,883",11,"$21,655,000.00","$19,312,000.00",244,"$6,261,000.00","$10,539,000.00",
474,FOUN,2011,Fort Union NM,"9,575",,"$618,000.00","$617,000.00",8,"$186,000.00","$332,000.00",
475,FOUS,2011,Fort Union Trading Post NHS,"12,236",,"$900,000.00","$872,000.00",11,"$245,000.00","$432,000.00",
476,FOVA,2011,Fort Vancouver NHS,"710,439",,"$37,610,000.00","$34,969,000.00",575,"$17,117,000.00","$29,386,000.00",
477,FOWA,2011,Fort Washington Park,"409,381",,"$14,009,000.00","$12,799,000.00",142,"$5,836,000.00","$9,763,000.00",
478,FOBU,2011,Fossil Butte NM,"16,552",,"$783,000.00","$783,000.00",10,"$205,000.00","$397,000.00",
479,FRDE,2011,Franklin Delano Roosevelt MEM,"2,309,708",,"$79,037,000.00","$72,209,000.00",803,"$32,925,000.00","$55,080,000.00",
480,FRDO,2011,Frederick Douglass NHS,"46,694",,"$1,598,000.00","$1,460,000.00",16,"$666,000.00","$1,114,000.00",
481,FRLA,2011,Frederick Law Olmsted NHS,"4,022",,"$277,000.00","$257,000.00",3,"$126,000.00","$209,000.00",
482,FRSP,2011,Fredericksburg & Spotsylvania NMP,"908,836",,"$48,113,000.00","$44,735,000.00",618,"$15,068,000.00","$28,167,000.00",
483,FRHI,2011,Friendship Hill NHS,"30,039",,"$2,067,000.00","$1,922,000.00",29,"$634,000.00","$1,196,000.00",
484,GAAR,2011,Gates of the Arctic NP & PRES,"11,623","6,576","$4,008,000.00","$4,008,000.00",42,"$1,343,000.00","$2,410,000.00",
485,GATE,2011,Gateway NRA,"7,697,727","8,165","$150,947,000.00","$60,712,000.00",668,"$30,724,000.00","$50,537,000.00",
486,GARI,2011,Gauley River NRA,"109,780","4,765","$4,882,000.00","$4,259,000.00",59,"$1,578,000.00","$2,570,000.00",
487,GEGR,2011,General Grant NMEM,"104,769",,"$7,210,000.00","$6,704,000.00",76,"$3,468,000.00","$5,731,000.00",
488,GERO,2011,George Rogers Clark NHP,"145,596",,"$7,708,000.00","$7,167,000.00",111,"$1,856,000.00","$3,676,000.00",
489,GEWA,2011,George Washington Birthplace NM,"130,647",,"$3,569,000.00","$3,275,000.00",44,"$871,000.00","$1,696,000.00",
490,GWCA,2011,George Washington Carver NM,"30,787",,"$547,000.00","$519,000.00",7,"$145,000.00","$272,000.00",
491,GWMP,2011,George Washington MEM PKWY,"7,417,397",,"$34,370,000.00","$5,021,000.00",50,"$1,886,000.00","$3,084,000.00",
492,GETT,2011,Gettysburg NMP,"1,124,659","24,948","$72,326,000.00","$71,731,000.00","1,226","$23,209,000.00","$47,532,000.00",
493,GICL,2011,Gila Cliff Dwellings NM,"25,317",,"$716,000.00","$690,000.00",10,"$161,000.00","$312,000.00",
494,GLBA,2011,Glacier Bay NP & PRES,"431,986","34,309","$4,592,000.00","$4,592,000.00",59,"$1,765,000.00","$3,169,000.00",
495,GLAC,2011,Glacier NP,"1,853,564","332,491","$97,715,000.00","$93,928,000.00","1,337","$30,590,000.00","$55,206,000.00",
496,GLCA,2011,Glen Canyon NRA,"2,270,817","1,311,741","$233,895,000.00","$233,895,000.00","2,755","$88,152,000.00","$138,044,000.00",
497,GOGA,2011,Golden Gate NRA,"14,567,487","60,927","$289,700,000.00","$119,573,000.00","1,566","$62,428,000.00","$107,537,000.00",
498,GREE,2011,Greenbelt Park,"43,933",,"$2,237,000.00","$2,182,000.00",31,"$709,000.00","$1,309,000.00",
499,GOIS,2011,Governors Island NM,"402,174",,"$37,602,000.00","$35,659,000.00",409,"$18,969,000.00","$31,399,000.00",
500,GRCA,2011,Grand Canyon NP,"4,298,178","1,357,679","$467,257,000.00","$467,257,000.00","7,361","$194,112,000.00","$346,447,000.00",
501,GRPO,2011,Grand Portage NM,"97,440",149,"$11,287,000.00","$11,228,000.00",182,"$3,445,000.00","$6,890,000.00",
502,GRTE,2011,Grand Teton NP,"2,587,437","483,467","$436,416,000.00","$432,295,000.00","6,352","$158,759,000.00","$292,497,000.00",
503,GRKO,2011,Grant-Kohrs Ranch NHS,"20,293",,"$752,000.00","$699,000.00",11,"$253,000.00","$444,000.00",
504,GRBA,2011,Great Basin NP,"91,451","36,026","$4,528,000.00","$4,339,000.00",56,"$1,029,000.00","$2,096,000.00",
505,GRSA,2011,Great Sand Dunes NP & PRES,"280,058","46,830","$10,770,000.00","$10,096,000.00",134,"$2,636,000.00","$5,289,000.00",
506,GRSM,2011,Great Smoky Mountains NP,"9,008,830","378,830","$818,886,000.00","$792,559,000.00","11,418","$293,668,000.00","$528,578,000.00",
507,GREE,2011,Greenbelt Park,"190,427","24,507","$13,539,000.00","$12,671,000.00",134,"$5,279,000.00","$8,776,000.00",
508,GUMO,2011,Guadalupe Mountains NP,"152,546","14,192","$10,919,000.00","$10,379,000.00",158,"$2,765,000.00","$5,417,000.00",
509,GUCO,2011,Guilford Courthouse NMP,"346,617",12,"$18,350,000.00","$17,061,000.00",281,"$7,312,000.00","$12,746,000.00",
510,GUIS,2011,Gulf Islands NS,"5,501,872","138,680","$164,709,000.00","$95,972,000.00","1,264","$30,575,000.00","$57,097,000.00",
511,HAFO,2011,Hagerman Fossil Beds NM,"21,100",,"$678,000.00","$590,000.00",9,"$191,000.00","$339,000.00",
512,HALE,2011,Haleakala NP,"956,989","21,436","$68,757,000.00","$65,241,000.00",795,"$26,798,000.00","$48,229,000.00",
513,HAGR,2011,Hamilton Grange NMEM,"7,817",,"$533,000.00","$496,000.00",6,"$266,000.00","$441,000.00",
514,HAMP,2011,Hampton NHS,"32,165",,"$2,214,000.00","$2,058,000.00",29,"$905,000.00","$1,629,000.00",
515,HAFE,2011,Harpers Ferry NHP,"255,348",,"$9,993,000.00","$9,117,000.00",135,"$3,963,000.00","$6,955,000.00",
516,HSTR,2011,Harry S Truman NHS,"28,924",,"$1,991,000.00","$1,851,000.00",30,"$955,000.00","$1,574,000.00",
517,HAVO,2011,Hawaii Volcanoes NP,"1,352,123","80,880","$96,990,000.00","$92,119,000.00","1,121","$37,711,000.00","$67,877,000.00",
518,HEHO,2011,Herbert Hoover NHS,"134,249",,"$7,107,000.00","$6,608,000.00",109,"$2,513,000.00","$4,317,000.00",
519,HOFR,2011,Home of Franklin D. Roosevelt NHS,"125,488",,"$2,723,000.00","$2,392,000.00",29,"$778,000.00","$1,577,000.00",
520,HOME,2011,Homestead NHP,"69,845",,"$2,308,000.00","$2,161,000.00",32,"$654,000.00","$1,166,000.00",
521,HOCU,2011,Hopewell Culture NHP,"33,834",,"$1,254,000.00","$1,166,000.00",18,"$326,000.00","$611,000.00",
522,HOFU,2011,Hopewell Furnace NHS,"44,873",,"$2,376,000.00","$2,209,000.00",33,"$926,000.00","$1,615,000.00",
523,HOBE,2011,Horseshoe Bend NMP,"65,892",,"$3,488,000.00","$3,243,000.00",49,"$980,000.00","$1,776,000.00",
524,HOSP,2011,Hot Springs NP,"1,396,354","13,943","$100,386,000.00","$95,223,000.00","1,551","$30,878,000.00","$54,885,000.00",
525,HOVE,2011,Hovenweep NM,"25,858","1,558","$1,390,000.00","$1,297,000.00",17,"$403,000.00","$740,000.00",
526,HUTR,2011,Hubbell Trading Post NHS,"88,231",,"$4,671,000.00","$4,343,000.00",57,"$921,000.00","$2,109,000.00",
527,INDE,2011,Independence NHP,"3,572,770",,"$149,894,000.00","$134,115,000.00","1,878","$67,770,000.00","$112,298,000.00",
528,INDU,2011,Indiana Dunes NP,"1,840,513","22,823","$58,817,000.00","$41,251,000.00",572,"$13,892,000.00","$24,596,000.00",
529,ISRO,2011,Isle Royale NP,"15,892","48,787","$2,098,000.00","$2,098,000.00",30,"$524,000.00","$1,049,000.00",
530,JAGA,2011,James A. Garfield NHS,"31,499",,"$1,031,000.00","$944,000.00",15,"$449,000.00","$746,000.00",
531,JELA,2011,Jean Lafitte NHP & PRES,"420,366",,"$22,254,000.00","$20,691,000.00",292,"$10,284,000.00","$16,699,000.00",
532,,2011,"Jefferson National Expansion
Memorial","2,259,020",,"$97,764,000.00","$85,939,000.00","1,110","$44,057,000.00","$75,918,000.00",
533,JECA,2011,Jewel Cave NM,"77,146",,"$4,084,000.00","$3,797,000.00",60,"$1,319,000.00","$2,260,000.00",
534,JICA,2011,Jimmy Carter NHP,"66,157",,"$2,452,000.00","$2,279,000.00",34,"$571,000.00","$1,189,000.00",
535,JODR,2011,"John D. Rockefeller, Jr. MEM PKWY","1,147,986","34,914","$7,471,000.00","$6,930,000.00",93,"$2,198,000.00","$3,727,000.00",
536,JODA,2011,John Day Fossil Beds NM,"148,002",,"$7,303,000.00","$7,185,000.00",90,"$1,668,000.00","$3,349,000.00",
537,JOFI,2011,John F. Kennedy NHS,"18,466",,"$1,271,000.00","$1,182,000.00",14,"$580,000.00","$962,000.00",
538,JOMU,2011,John Muir NHS,"31,236",,"$2,150,000.00","$1,999,000.00",26,"$836,000.00","$1,557,000.00",
539,JOFL,2011,Johnstown Flood NMEM,"105,906",,"$6,356,000.00","$5,870,000.00",97,"$2,161,000.00","$4,092,000.00",
540,JOTR,2011,Joshua Tree NP,"1,396,237","281,544","$50,471,000.00","$50,031,000.00",690,"$20,220,000.00","$37,817,000.00",
541,KALA,2011,Kalaupapa NHP,"57,841",,"$3,062,000.00","$2,847,000.00",34,"$1,142,000.00","$2,049,000.00",
542,KAHO,2011,Kaloko Honokohau NHP,"162,906",,"$8,624,000.00","$8,019,000.00",96,"$3,215,000.00","$5,771,000.00",
543,KATM,2011,Katmai NP & PRES,"48,939","8,239","$12,583,000.00","$12,445,000.00",166,"$4,928,000.00","$8,847,000.00",
544,KEFJ,2011,Kenai Fjords NP,"346,852","1,791","$11,804,000.00","$11,630,000.00",159,"$4,624,000.00","$8,303,000.00",
545,KEMO,2011,Kennesaw Mountain NBP,"1,748,436",,"$59,809,000.00","$52,087,000.00",644,"$22,144,000.00","$36,030,000.00",
546,KICA,2011,Kings Canyon NP,"566,810","182,275","$44,116,000.00","$40,524,000.00",549,"$15,441,000.00","$29,781,000.00",
547,KIMO,2011,Kings Mountain NMP,"272,325",92,"$9,992,000.00","$8,882,000.00",135,"$3,127,000.00","$5,699,000.00",
548,KLGO,2011,Klondike Gold Rush NHP Alaska,"795,150","5,592","$22,504,000.00","$22,236,000.00",273,"$8,226,000.00","$14,678,000.00",
549,KLSE,2011,Klondike Gold Rush NHP Seattle,"64,898",,"$4,466,000.00","$4,153,000.00",60,"$2,025,000.00","$3,485,000.00",
550,KNRI,2011,Knife River Indian Villages NHS,"16,025",,"$594,000.00","$552,000.00",9,"$207,000.00","$359,000.00",
551,KOVA,2011,Kobuk Valley NP,"11,485","9,715","$3,955,000.00","$3,955,000.00",41,"$1,318,000.00","$2,354,000.00",
552,KOWA,2011,Korean War Veterans Memorial,"3,073,430",,"$105,171,000.00","$96,086,000.00","1,068","$43,812,000.00","$73,293,000.00",
553,LACH,2011,Lake Chelan NRA,"43,827","10,595","$1,803,000.00","$1,646,000.00",23,"$827,000.00","$1,414,000.00",
554,LACL,2011,Lake Clark NP & PRES,"5,158","1,931","$1,775,000.00","$1,775,000.00",18,"$590,000.00","$1,052,000.00",
555,LAKE,2011,Lake Mead NRA,"6,396,682","923,421","$246,962,000.00","$209,944,000.00","2,544","$79,462,000.00","$138,418,000.00",
556,LAMR,2011,Lake Meredith NRA,"734,030","17,098","$32,446,000.00","$28,237,000.00",382,"$8,189,000.00","$15,636,000.00",
557,LARO,2011,Lake Roosevelt NRA,"1,523,474","162,760","$48,758,000.00","$42,892,000.00",563,"$11,732,000.00","$22,969,000.00",
558,LAVO,2011,Lassen Volcanic NP,"351,269","88,567","$15,807,000.00","$14,403,000.00",178,"$4,458,000.00","$8,675,000.00",
559,LABE,2011,Lava Beds NM,"124,113","10,827","$4,678,000.00","$4,456,000.00",52,"$1,187,000.00","$2,319,000.00",
560,LYBA,2011,LBJ Memorial Grove on the Potomac,"239,058",,"$16,452,000.00","$15,297,000.00",164,"$6,499,000.00","$10,807,000.00",
561,LEWI,2011,Lewis & Clark NHP,"191,867",,"$10,157,000.00","$9,444,000.00",142,"$2,386,000.00","$4,794,000.00",
562,LIBO,2011,Lincoln Boyhood NMEM,"108,420",,"$5,740,000.00","$5,337,000.00",83,"$1,550,000.00","$2,906,000.00",
563,LIHO,2011,Lincoln Home NHS,"296,214",,"$16,367,000.00","$16,061,000.00",233,"$6,006,000.00","$11,410,000.00",
564,LINC,2011,Lincoln Memorial,"5,971,220",,"$204,331,000.00","$186,680,000.00","2,075","$85,120,000.00","$142,397,000.00",
565,LIBI,2011,Little Bighorn Battlefield NM,"312,168",,"$11,568,000.00","$10,756,000.00",165,"$4,036,000.00","$7,067,000.00",
566,LIRI,2011,Little River Canyon NPRES,"225,549",,"$11,355,000.00","$10,768,000.00",169,"$3,237,000.00","$6,213,000.00",
567,CHSC,2011,Little Rock Central High School NHS,"66,106",,"$3,500,000.00","$3,254,000.00",52,"$1,479,000.00","$2,389,000.00",
568,LONG,2011,Longfellow House Washington's HQ NHS,"46,596",,"$2,467,000.00","$2,294,000.00",28,"$1,126,000.00","$1,867,000.00",
569,LOWE,2011,Lowell NHP,"520,452",,"$35,818,000.00","$33,303,000.00",408,"$16,351,000.00","$27,109,000.00",
570,LYJO,2011,Lyndon B. Johnson NHP,"100,056",,"$6,886,000.00","$6,402,000.00",90,"$2,718,000.00","$4,738,000.00",
571,MAWA,2011,Maggie L. Walker NHS,"10,779",,"$271,000.00","$143,000.00",2,"$66,000.00","$114,000.00",
572,MACA,2011,Mammoth Cave NP,"483,319","78,172","$33,504,000.00","$31,618,000.00",508,"$11,080,000.00","$19,822,000.00",
573,MANA,2011,Manassas NBP,"659,740",,"$9,669,000.00","$9,256,000.00",105,"$3,558,000.00","$5,776,000.00",
574,MANZ,2011,Manzanar NHS,"79,587",,"$8,434,000.00","$8,381,000.00",92,"$2,091,000.00","$4,286,000.00",
575,MABI,2011,Marsh-Billings-Rockefeller NHP,"29,049",,"$1,538,000.00","$1,430,000.00",21,"$536,000.00","$932,000.00",
576,MLKM,2011,"Martin Luther King, Jr. Memorial","1,490,358",,"$101,657,000.00","$94,240,000.00","1,017","$41,961,000.00","$70,532,000.00",
577,MALU,2011,"Martin Luther King, Jr. NHP","666,482",,"$45,868,000.00","$42,647,000.00",562,"$21,142,000.00","$33,915,000.00",
578,MAVA,2011,Martin Van Buren NHS,"19,287",,"$419,000.00","$367,000.00",4,"$110,000.00","$202,000.00",
579,MABE,2011,Mary McLeod Bethune Council House NHS,"18,142",,"$621,000.00","$567,000.00",6,"$259,000.00","$433,000.00",
580,MEVE,2011,Mesa Verde NP,"572,329","70,891","$43,382,000.00","$41,397,000.00",551,"$12,518,000.00","$24,207,000.00",
581,MIMA,2011,Minute Man NHP,"1,002,833",,"$69,015,000.00","$64,170,000.00",851,"$29,855,000.00","$51,655,000.00",
582,MIMI,2011,Minuteman Missile NHS,"59,389",,"$4,229,000.00","$4,229,000.00",65,"$1,467,000.00","$2,505,000.00",
583,MISS,2011,Mississippi NRRA,"99,398",,"$11,029,000.00","$10,567,000.00",186,"$5,981,000.00","$10,155,000.00",
584,MNRR,2011,Missouri NRR,"179,983",,"$9,061,000.00","$8,593,000.00",140,"$2,204,000.00","$4,171,000.00",
585,MOJA,2011,Mojave NPRES,"536,006","1,584","$12,552,000.00","$10,978,000.00",131,"$4,624,000.00","$8,187,000.00",
586,MONO,2011,Monocacy NB,"36,674",,"$2,796,000.00","$2,591,000.00",33,"$1,299,000.00","$2,122,000.00",
587,MOCA,2011,Montezuma Castle NM,"573,731",,"$30,373,000.00","$28,240,000.00",428,"$13,851,000.00","$24,025,000.00",
588,MOCR,2011,Moores Creek NB,"58,118",252,"$2,150,000.00","$1,999,000.00",31,"$704,000.00","$1,293,000.00",
589,MORR,2011,Morristown NHP,"222,395",,"$11,773,000.00","$10,947,000.00",123,"$5,662,000.00","$9,358,000.00",
590,MORA,2011,Mount Rainier NP,"1,038,229","162,684","$33,006,000.00","$31,382,000.00",436,"$11,653,000.00","$21,090,000.00",
591,MORU,2011,Mount Rushmore NMEM,"2,081,722",,"$74,365,000.00","$69,991,000.00","1,007","$22,080,000.00","$37,100,000.00",
592,MUWO,2011,Muir Woods NM,"897,131",,"$61,741,000.00","$57,406,000.00",767,"$30,417,000.00","$52,462,000.00",
593,NATC,2011,Natchez NHP,"206,624",,"$10,938,000.00","$10,170,000.00",131,"$2,674,000.00","$5,243,000.00",
594,NATR,2011,Natchez Trace PKWY,"5,765,343","21,957","$93,117,000.00","$33,926,000.00",455,"$7,618,000.00","$14,891,000.00",
595,NCPC,2011,National Capital Parks Central,"1,240,717",,"$42,457,000.00","$38,789,000.00",431,"$17,686,000.00","$29,588,000.00",
596,NCPE,2011,National Capital Parks East,"1,167,393",,"$39,947,000.00","$36,497,000.00",406,"$16,641,000.00","$27,839,000.00",
597,NPSA,2011,National Park of American Samoa,"8,716",,"$744,000.00","$713,000.00",11,"$188,000.00","$381,000.00",
598,NABR,2011,Natural Bridges NM,"91,184","6,665","$4,918,000.00","$4,590,000.00",59,"$1,191,000.00","$2,339,000.00",
599,NAVA,2011,Navajo NM,"87,388","2,533","$4,655,000.00","$4,335,000.00",56,"$1,348,000.00","$2,515,000.00",
600,NEBE,2011,New Bedford Whaling NHP,"273,862",,"$14,250,000.00","$13,618,000.00",207,"$6,140,000.00","$11,616,000.00",
601,JAZZ,2011,New Orleans Jazz NHP,"130,393",,"$6,903,000.00","$6,418,000.00",90,"$3,190,000.00","$5,180,000.00",
602,NERI,2011,New River Gorge NP & PRES,"1,071,088","8,861","$46,224,000.00","$43,316,000.00",596,"$13,647,000.00","$23,667,000.00",
603,NEPE,2011,Nez Perce NHP,"286,259",,"$10,608,000.00","$9,863,000.00",151,"$3,849,000.00","$7,119,000.00",
604,NICO,2011,Nicodemus NHS,"2,681",,"$133,000.00","$130,000.00",2,"$38,000.00","$68,000.00",
605,NISI,2011,Ninety Six NHS,"70,099",,"$3,711,000.00","$3,450,000.00",50,"$946,000.00","$1,793,000.00",
606,NIOB,2011,Niobrara NSR,"65,785",,"$3,312,000.00","$3,141,000.00",51,"$806,000.00","$1,525,000.00",
607,NOAT,2011,Noatak NPRES,"11,722","9,694","$4,036,000.00","$4,036,000.00",42,"$1,343,000.00","$2,397,000.00",
608,NOCA,2011,North Cascades NP,"19,208","17,002","$1,252,000.00","$1,206,000.00",16,"$582,000.00","$997,000.00",
609,OBRI,2011,Obed W&SR,"212,458","1,340","$9,711,000.00","$8,482,000.00",124,"$2,277,000.00","$4,420,000.00",
610,OCMU,2011,Ocmulgee Mounds NHP,"122,722",,"$6,497,000.00","$6,041,000.00",93,"$2,145,000.00","$4,109,000.00",
611,OLYM,2011,Olympic NP,"2,966,502","298,235","$115,317,000.00","$105,561,000.00","1,497","$28,293,000.00","$59,819,000.00",
612,ORCA,2011,Oregon Caves NM & PRES,"76,194","6,307","$3,848,000.00","$3,578,000.00",55,"$1,212,000.00","$2,393,000.00",
613,ORPI,2011,Organ Pipe Cactus NM,"211,405","13,024","$11,358,000.00","$10,594,000.00",160,"$5,099,000.00","$8,869,000.00",
614,OZAR,2011,Ozark NSR,"1,365,960","168,595","$65,280,000.00","$57,823,000.00",861,"$13,337,000.00","$27,211,000.00",
615,PAIS,2011,Padre Island NS,"542,873","59,828","$38,805,000.00","$36,897,000.00",516,"$10,304,000.00","$19,878,000.00",
616,PAAL,2011,Palo Alto Battlefield NHP,"24,752",,"$917,000.00","$853,000.00",13,"$303,000.00","$593,000.00",
617,PERI,2011,Pea Ridge NMP,"114,234",,"$6,047,000.00","$5,623,000.00",88,"$1,537,000.00","$2,833,000.00",
618,PECO,2011,Pecos NHP,"43,873",,"$1,022,000.00","$989,000.00",15,"$377,000.00","$642,000.00",
619,PAAV,2011,Pennsylvania Avenue NHS,"236,136",,"$8,080,000.00","$7,382,000.00",82,"$3,366,000.00","$5,631,000.00",
620,PEVI,2011,Perry's Victory & Intl. Peace MEM,"93,119","1,581","$7,422,000.00","$7,422,000.00",147,"$3,430,000.00","$6,037,000.00",
621,PETE,2011,Petersburg NB,"213,261",,"$11,290,000.00","$10,497,000.00",155,"$3,799,000.00","$7,139,000.00",
622,PEFO,2011,Petrified Forest NP,"614,054","4,611","$44,161,000.00","$41,879,000.00",568,"$11,735,000.00","$23,317,000.00",
623,PETR,2011,Petroglyph NM,"114,428",,"$5,060,000.00","$4,098,000.00",66,"$1,728,000.00","$2,987,000.00",
624,PIRO,2011,Pictured Rocks NL,"561,104","33,974","$24,970,000.00","$24,532,000.00",357,"$5,676,000.00","$12,414,000.00",
625,PINN,2011,Pinnacles NP,"393,219",,"$8,415,000.00","$6,942,000.00",82,"$2,802,000.00","$4,823,000.00",
626,PISP,2011,Pipe Spring NM,"57,360",,"$3,037,000.00","$2,823,000.00",39,"$933,000.00","$1,752,000.00",
627,PIPE,2011,Pipestone NM,"61,908",,"$2,846,000.00","$2,762,000.00",44,"$991,000.00","$1,678,000.00",
628,PISC,2011,Piscataway Park,"279,060",,"$9,549,000.00","$8,724,000.00",97,"$3,978,000.00","$6,655,000.00",
629,PORE,2011,Point Reyes NS,"2,129,116","40,822","$93,317,000.00","$84,981,000.00","1,105","$43,524,000.00","$75,171,000.00",
630,POCH,2011,Port Chicago Naval Magazine NMEM,545,,"$37,000.00","$34,000.00",1,"$21,000.00","$36,000.00",
631,WICL,2011,President W.J. Clinton Birthplace Home NHS,"9,749",,"$512,000.00","$474,000.00",7,"$124,000.00","$254,000.00",
632,PRPA,2011,President's Park,"786,151",,"$26,902,000.00","$24,578,000.00",273,"$11,207,000.00","$18,748,000.00",
633,PRWI,2011,Prince William Forest Park,"379,535","48,504","$21,833,000.00","$16,328,000.00",172,"$6,494,000.00","$10,808,000.00",
634,PUHO,2011,Pu'uhonua o Honaunau NHP,"426,224",,"$22,564,000.00","$20,980,000.00",252,"$8,412,000.00","$15,099,000.00",
635,PUHE,2011,Pu'ukohola Heiau NHS,"133,306",,"$7,057,000.00","$6,562,000.00",79,"$2,631,000.00","$4,722,000.00",
636,RABR,2011,Rainbow Bridge NM,"92,311",,"$4,887,000.00","$4,544,000.00",60,"$1,485,000.00","$2,701,000.00",
637,REDW,2011,Redwood NP,"380,167","5,420","$20,172,000.00","$18,186,000.00",247,"$4,689,000.00","$9,966,000.00",
638,RICH,2011,Richmond NBP,"139,376",,"$10,374,000.00","$9,335,000.00",146,"$4,420,000.00","$7,697,000.00",
639,RIGR,2011,Rio Grande W&SR,873,"4,871","$106,000.00","$105,000.00",1,"$22,000.00","$45,000.00",
640,RIRA,2011,River Raisin NBP,"36,206",,"$3,090,000.00","$2,961,000.00",52,"$1,667,000.00","$2,837,000.00",
641,ROCR,2011,Rock Creek Park,"2,050,490",,"$70,166,000.00","$64,105,000.00",713,"$29,230,000.00","$48,899,000.00",
642,ROMO,2011,Rocky Mountain NP,"3,176,941","200,712","$196,127,000.00","$191,892,000.00","2,742","$71,849,000.00","$138,269,000.00",
643,ROWI,2011,Roger Williams NMEM,"50,909",,"$3,504,000.00","$3,258,000.00",46,"$1,420,000.00","$2,459,000.00",
644,ROLA,2011,Ross Lake NRA,"728,353","71,820","$23,339,000.00","$20,516,000.00",280,"$9,832,000.00","$16,804,000.00",
645,RUCA,2011,Russell Cave NM,"20,717",,"$1,097,000.00","$1,020,000.00",16,"$274,000.00","$526,000.00",
646,SAHI,2011,Sagamore Hill NHS,"53,336",,"$3,671,000.00","$3,413,000.00",41,"$1,516,000.00","$2,726,000.00",
647,SAGU,2011,Saguaro NP,"610,045","2,033","$21,949,000.00","$15,156,000.00",211,"$5,547,000.00","$10,044,000.00",
648,SACN,2011,Saint Croix NSR,"273,729","29,738","$8,803,000.00","$7,740,000.00",122,"$2,348,000.00","$4,293,000.00",
649,SAPA,2011,Saint Paul's Church NHS,"14,926",,"$1,027,000.00","$955,000.00",11,"$494,000.00","$816,000.00",
650,SAGA,2011,Saint-Gaudens NHP,"32,695",,"$1,297,000.00","$1,193,000.00",19,"$494,000.00","$869,000.00",
651,SAMA,2011,Salem Maritime NHS,"737,073",,"$50,726,000.00","$47,164,000.00",578,"$23,157,000.00","$38,392,000.00",
652,SAPU,2011,Salinas Pueblo Missions NM,"29,786",,"$823,000.00","$792,000.00",12,"$306,000.00","$520,000.00",
653,SARI,2011,Salt River Bay NHP & Ecological Pres,"2,419",,"$206,000.00","$198,000.00",3,"$52,000.00","$106,000.00",
654,SAAN,2011,San Antonio Missions NHP,"568,021",,"$23,831,000.00","$21,323,000.00",297,"$8,913,000.00","$15,385,000.00",
655,SAFR,2011,San Francisco Maritime NHP,"4,224,897","10,876","$95,492,000.00","$70,774,000.00",855,"$33,761,000.00","$58,207,000.00",
656,SAJH,2011,San Juan Island NHP,"266,717",,"$18,356,000.00","$17,067,000.00",235,"$5,939,000.00","$11,420,000.00",
657,SAJU,2011,San Juan NHS,"1,229,590",,"$65,093,000.00","$60,523,000.00",892,"$17,812,000.00","$34,157,000.00",
658,SAND,2011,Sand Creek Massacre NHS,"3,935",,"$336,000.00","$322,000.00",4,"$80,000.00","$172,000.00",
659,SAMO,2011,Santa Monica Mountains NRA,"609,636",144,"$26,192,000.00","$17,258,000.00",242,"$9,013,000.00","$15,833,000.00",
660,SARA,2011,Saratoga NHP,"65,043",,"$2,410,000.00","$2,241,000.00",27,"$700,000.00","$1,426,000.00",
661,SAIR,2011,Saugus Iron Works NHS,"11,121",,"$765,000.00","$712,000.00",9,"$349,000.00","$579,000.00",
662,SCBL,2011,Scotts Bluff NM,"128,811",,"$4,416,000.00","$3,586,000.00",60,"$1,134,000.00","$2,033,000.00",
663,SEQU,2011,Sequoia NP,"1,006,583","228,644","$77,776,000.00","$71,141,000.00",965,"$27,119,000.00","$52,409,000.00",
664,SHEN,2011,Shenandoah NP,"1,209,883","282,888","$73,908,000.00","$65,113,000.00",938,"$22,465,000.00","$41,855,000.00",
665,SHIL,2011,Shiloh NMP,"387,816",,"$14,371,000.00","$13,362,000.00",202,"$4,033,000.00","$7,844,000.00",
666,SITK,2011,Sitka NHP,"186,864",,"$4,058,000.00","$4,010,000.00",49,"$1,483,000.00","$2,645,000.00",
667,SLBE,2011,Sleeping Bear Dunes NL,"1,348,304","129,973","$132,774,000.00","$129,244,000.00","2,288","$52,893,000.00","$102,846,000.00",
668,SPAR,2011,Springfield Armory NHS,"16,161",,"$1,112,000.00","$1,034,000.00",14,"$438,000.00","$800,000.00",
669,STLI,2011,Statue of Liberty NM,"3,749,982",,"$174,607,000.00","$157,217,000.00","2,009","$79,828,000.00","$137,508,000.00",
